param_name,prior,optimized,delta,delta_pct
tree_alloc_ass,0.2623450692891942,0.48678240180015564,0.22443733251096143,85.55042910433149
tree_alloc_abg,0.5000067449518385,0.4915855824947357,-0.008421162457102782,-1.6842097715929658
tree_sla,174.9913717668777,236.74075317382812,61.74938140695042,35.28710060585873
tree_lue,0.05000691973287948,0.06212424114346504,0.012117321410585559,24.23128934017993
tree_pmax,19.0011720912785,21.941614151000977,2.940442059722475,15.475056199675869
tree_topt,22.500278639056837,18.965599060058594,-3.5346795789982437,-15.709492472073713
tree_tmin,7.499126733755644,19.958477020263672,12.459350286508027,166.144015548171
tree_tmax,37.497662029781985,25.0,-12.497662029781985,-33.329176682684626
tree_rmf0,1.0048024949777887,1.45246160030365,0.4476591053258612,44.55195001638175
tree_qTf0,2.000021452538422,1.8209627866744995,-0.1790586658639226,-8.952837262653448
tree_qTc0,2.0000529980541044,1.7857416868209839,-0.21431131123312053,-10.715281617118583
tree_qTr0,2.000050645222689,2.5,0.49994935477731106,24.99683475373424
tree_lf0,0.04999877041430515,0.06777223199605942,0.017773461581754267,35.5477973447705
tree_lc0,0.04999030601704858,0.10000000149011612,0.050009695473067536,100.03878643193809
tree_lr0,0.049971131572774004,0.09695269912481308,0.046981567552039076,94.01741780375502
c3_alloc_ass,0.2532757022014059,0.6393094658851624,0.38603376368375647,152.41642223413157
c3_alloc_abg,0.4999509811132826,0.6590936779975891,0.1591426968843065,31.831660081940463
c3_sla,174.98518983917216,188.20347595214844,13.218286112976273,7.55394563684225
c3_lue,0.050004088167497074,0.041147515177726746,-0.008856572989770328,-17.711697811794412
c3_pmax,19.00058834723388,8.363472938537598,-10.637115408696282,-55.983084388251804
c3_topt,22.50064533262673,10.0,-12.500645332626728,-55.55683025010999
c3_tmin,7.499907418585361,-4.945956230163574,-12.445863648748936,-165.94689712978465
c3_tmax,37.49993516079836,25.611034393310547,-11.888900767487812,-31.703790197259377
c3_rmf0,1.0049552866735079,0.37516093254089355,-0.6297943541326143,-62.6688930825261
c3_qTf0,1.9998817150843309,1.7587435245513916,-0.24113819053293928,-12.057622644085777
c3_qTc0,1.9998502373992249,2.5,0.5001497626007751,25.00936086350208
c3_qTr0,1.9999870880665103,1.5242515802383423,-0.475735507828168,-23.78692895903072
c3_lf0,0.049994631308997166,0.0024301991797983646,-0.0475644321291988,-95.13907970482218
c3_lc0,0.05001684124879427,0.09855548292398453,0.04853864167519026,97.04459630656976
c3_lr0,0.05001714921994729,0.0012003565207123756,-0.04881679269923492,-97.60011008337584
soil_sr_lf,1.5046625365896875,3.0,1.4953374634103125,99.38025484435133
soil_sr_lc,1.5046410562836554,0.009999990463256836,-1.4946410658203986,-99.33539029647667
soil_sr_lr,1.5049176165746543,1.2891488075256348,-0.21576880904901952,-14.3375827801213
soil_f_co2_lf,0.6000097350521011,0.3055569529533386,-0.29445278209876247,-49.07466744238642
soil_f_co2_lc,0.5999036796649979,0.8854313492774963,0.2855276696124984,47.59558564000552
soil_f_co2_lr,0.6000378482396479,0.5143177509307861,-0.08572009730886176,-14.28578173199271
